COD_ESCOLA,AFDG1,AFDG2,AFDG3,AFDG4,AFDG5,ATU_TOTAL,DSU_TOTAL,ICG_ESCOLA,NIVEL1,NIVEL2,NIVEL3,NIVEL4,NIVEL5,NIVEL6,IRD_ESCOLA,TDI_TOTAL,TAPROV,TREPROV
26140179,35.30,5.90,41.20,17.60,0.00,31.70,100.00,"Nível 6",0.00,15.30,38.50,38.50,0.00,7.70,3.40,51.50,90.10,9.90
26140764,23.10,0.00,23.10,7.70,46.10,8.50,50.00,"Nível 2",0.00,0.00,75.00,12.50,0.00,12.50,2.90,11.80,100.00,0.00
26140870,29.70,4.40,35.20,0.00,30.70,37.90,57.10,"Nível 4",0.00,0.00,64.30,28.60,7.10,0.00,2.40,10.20,98.90,1.10
26142716,69.40,0.00,30.60,0.00,0.00,42.70,100.00,"Nível 4",0.00,0.00,17.40,52.20,26.10,4.30,3.70,5.50,97.60,2.40
26142724,51.70,0.00,37.90,10.40,0.00,24.00,100.00,"Nível 4",0.00,20.00,0.00,70.00,0.00,10.00,NULL,26.40,78.20,21.80
26142759,47.30,0.00,32.40,6.80,13.50,34.40,82.40,"Nível 3",0.00,5.80,11.80,58.80,11.80,11.80,3.60,2.30,93.00,5.80
26143178,8.30,0.00,16.70,0.00,75.00,9.30,25.00,"Nível 4",0.00,0.00,62.50,37.50,0.00,0.00,3.20,10.70,100.00,0.00
26143330,44.60,0.00,23.10,0.00,32.30,40.80,77.80,"Nível 4",0.00,0.00,11.00,55.60,16.70,16.70,4.80,7.80,86.30,13.70
26143399,41.70,8.30,13.90,0.00,36.10,25.70,72.70,"Nível 4",0.00,27.30,9.10,63.60,0.00,0.00,3.40,15.60,94.60,1.40
26144417,69.60,8.90,16.10,5.40,0.00,25.40,100.00,"Nível 5",1.60,5.00,35.00,51.70,5.00,1.70,3.50,NULL,79.30,16.00
26144441,46.50,0.00,20.90,7.00,25.60,47.00,71.40,"Nível 3",0.00,14.20,42.90,42.90,0.00,0.00,3.10,7.80,94.90,5.10
26144840,48.70,0.00,23.10,15.40,12.80,34.30,83.30,"Nível 2",0.00,16.70,66.70,8.30,0.00,8.30,3.10,14.60,93.10,6.90
26145103,21.40,0.00,35.70,0.00,42.90,12.30,50.00,"Nível 3",0.00,0.00,100.00,0.00,0.00,0.00,4.60,18.90,89.20,10.80
26145421,40.00,0.00,30.00,0.00,30.00,10.00,66.70,"Nível 4",0.00,0.00,50.00,33.30,16.70,0.00,2.90,0.00,100.00,0.00
26145677,45.80,0.00,54.20,0.00,0.00,32.30,100.00,"Nível 4",0.00,28.60,21.40,42.90,7.10,0.00,4.00,22.20,97.90,2.10
26146207,22.60,0.00,16.10,3.20,58.10,10.70,44.40,"Nível 4",0.00,22.20,0.00,66.70,11.10,0.00,3.30,15.60,86.70,13.30
26146290,17.90,0.00,35.90,2.60,43.60,29.30,53.80,"Nível 4",0.00,15.30,15.40,46.20,23.10,0.00,3.20,10.20,93.20,6.80
26146690,63.60,0.00,22.70,13.70,0.00,20.70,100.00,"Nível 3",0.00,10.00,75.00,10.00,5.00,0.00,4.10,45.20,96.60,3.40
26146770,26.50,8.80,47.10,8.80,8.80,20.00,88.90,"Nível 3",0.00,0.00,33.30,55.60,11.10,0.00,3.70,8.30,98.30,1.70
26146967,39.00,0.00,61.00,0.00,0.00,34.00,100.00,"Nível 4",0.00,0.00,38.40,30.80,30.80,0.00,3.50,17.10,88.50,5.00
26147190,24.70,0.00,41.10,0.00,34.20,16.30,57.10,"Nível 6",0.00,0.00,71.50,7.10,14.30,7.10,3.80,63.30,79.60,0.00
26147483,22.50,0.00,30.00,10.00,37.50,4.00,70.00,"Nível 4",10.00,0.00,60.00,20.00,10.00,0.00,3.30,0.00,100.00,0.00
26147505,42.10,0.00,29.80,0.00,28.10,38.00,69.20,"Nível 2",0.00,0.00,46.10,46.20,7.70,0.00,3.30,6.60,95.90,1.40
26147629,28.60,0.00,35.70,7.10,28.60,13.00,71.40,"Nível 4",0.00,7.10,28.60,50.00,14.30,0.00,2.80,0.00,97.10,2.90
26148021,42.90,8.50,48.60,0.00,0.00,43.60,100.00,"Nível 3",4.40,8.70,39.10,30.40,17.40,0.00,3.20,50.40,98.30,1.70
26148447,43.60,2.00,24.80,2.00,27.60,34.50,61.90,"Nível 6",0.00,2.30,26.20,40.50,16.70,14.30,3.30,43.90,91.10,8.90
26148528,27.50,0.00,20.00,0.00,52.50,24.70,40.00,"Nível 5",6.70,0.00,0.00,40.00,40.00,13.30,3.70,16.20,93.10,6.90
26148536,24.30,0.00,8.10,0.00,67.60,22.30,30.80,"Nível 4",0.00,0.00,7.60,38.50,23.10,30.80,3.00,10.40,92.50,6.00
26148552,26.20,0.00,21.40,0.00,52.40,8.70,54.50,"Nível 4",0.00,0.00,9.10,54.50,27.30,9.10,2.50,11.50,100.00,0.00
26148625,27.00,0.00,45.90,0.00,27.10,39.30,63.60,"Nível 4",0.00,18.10,0.00,36.40,9.10,36.40,3.30,19.50,90.60,6.80
26149060,16.70,16.70,33.30,0.00,33.30,8.70,62.50,"Nível 4",0.00,0.00,50.00,25.00,25.00,0.00,3.30,23.10,96.20,3.80
26149699,26.30,0.00,34.20,18.40,21.10,16.00,66.70,"Nível 4",0.00,0.00,0.00,55.60,33.30,11.10,3.70,8.30,100.00,0.00
26149907,21.60,0.00,59.50,8.10,10.80,19.70,77.80,"Nível 4",0.00,0.00,0.00,88.90,11.10,0.00,3.70,18.60,100.00,0.00
26150131,0.00,0.00,100.00,0.00,0.00,15.00,100.00,"Nível 4",50.00,0.00,50.00,0.00,0.00,0.00,2.20,0.00,78.60,21.40
26150387,38.90,0.00,33.30,0.00,27.80,27.30,71.40,"Nível 5",0.00,0.00,0.00,28.60,50.00,21.40,3.00,9.20,100.00,0.00
26150425,13.00,8.70,0.00,21.70,56.60,5.00,42.90,"Nível 4",0.00,0.00,57.10,14.30,28.60,0.00,2.00,30.00,100.00,0.00
26150760,15.60,0.00,18.80,0.00,65.60,22.70,50.00,"Nível 4",0.00,0.00,0.00,100.00,0.00,0.00,2.20,7.40,100.00,0.00
26151553,25.70,0.00,22.90,8.60,42.80,24.70,66.70,"Nível 4",0.00,0.00,0.00,55.60,33.30,11.10,3.60,6.80,98.60,1.40
26151677,38.90,0.00,30.60,0.00,30.50,19.70,73.30,"Nível 4",0.00,0.00,26.70,60.00,13.30,0.00,3.70,8.50,98.30,0.00
26151987,50.00,0.00,43.30,0.00,6.70,41.30,93.80,"Nível 5",0.00,0.00,6.20,62.50,6.30,25.00,3.30,4.50,93.50,5.90
26152576,14.30,0.00,28.60,7.10,50.00,8.00,37.50,"Nível 4",0.00,0.00,37.50,62.50,0.00,0.00,2.30,0.00,100.00,0.00
26152711,17.10,0.00,8.60,0.00,74.30,10.30,25.00,"Nível 2",0.00,33.40,33.30,25.00,0.00,8.30,1.90,25.80,93.10,0.00
26152789,62.50,0.00,18.20,17.00,2.30,48.20,96.20,"Nível 4",0.00,11.60,26.90,30.80,26.90,3.80,4.10,12.10,89.40,9.90
26152819,70.00,0.00,28.00,2.00,0.00,56.80,100.00,"Nível 4",0.00,0.00,15.70,42.10,21.10,21.10,3.60,11.90,88.70,10.40
26152886,79.80,4.10,7.30,4.10,4.70,29.60,98.10,"Nível 5",0.00,3.80,35.80,58.50,0.00,1.90,3.30,19.70,59.90,39.70
26153050,23.10,7.70,30.80,38.40,0.00,34.70,100.00,"Nível 2",0.00,0.00,14.30,57.10,14.30,14.30,3.70,7.70,89.20,7.80
26153084,75.80,0.00,21.00,0.00,3.20,30.70,95.20,"Nível 3",0.00,0.00,52.30,38.10,4.80,4.80,3.70,3.30,100.00,0.00
26153742,57.40,0.00,34.50,8.10,0.00,34.30,100.00,"Nível 5",0.00,1.70,27.60,46.60,8.60,15.50,3.60,29.30,96.80,3.20
26153920,33.30,8.30,16.70,16.70,25.00,7.00,66.70,"Nível 4",0.00,0.00,77.80,22.20,0.00,0.00,NULL,14.30,100.00,0.00
26154358,20.00,0.00,57.10,14.30,8.60,29.30,88.20,"Nível 5",0.00,0.00,29.40,64.70,5.90,0.00,4.10,23.90,100.00,0.00
26154463,18.20,0.00,63.60,18.20,0.00,15.70,100.00,"Nível 3",0.00,16.60,16.70,33.30,16.70,16.70,4.10,6.40,100.00,0.00
